trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
361,False,"{'a': 0.5, 'e': 0.2352995902812447}",20,0,-6.915001647049703,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
362,False,"{'a': 0.5, 'e': 0.23435839192011973}",20,4,25.85441848511242,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.23342095835243926}",25,10,18.07458459557941,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.23248727451902948}",20,0,24.643682329502347,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
365,False,"{'a': 0.5, 'e': 0.23155732542095336}",25,11,14.96124042590784,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.5, 'e': 0.23063109611926955}",25,17,1.4806743089541339,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.22970857173479248}",20,14,10.441612489694142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.5, 'e': 0.2287897374478533}",20,13,1.9828761966955541,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.2278745784980619}",30,8,34.4710184733665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.22696308018406963}",30,19,8.965239617251921,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.22605522786333337}",20,10,7.842900451196096,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
372,False,"{'a': 0.5, 'e': 0.22515100695188003}",30,4,36.110367841819986,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
